method,backbone,source,grouping,group,n_images,n_leaf_concepts,is_h1_fixed_worst_fpr95_group,source_fpr95,group_fpr95,unadjusted_gap,unadjusted_gap_ci_low,unadjusted_gap_ci_high,source_expected_risk,group_expected_risk,source_mean_residual,group_mean_residual,adjusted_residual_gap,adjusted_gap_ci_low,adjusted_gap_ci_high,attenuation_fraction,residual_failure_persists,h1_stored_gap
mcm,ViT-B/32,inaturalist,predefined,Solanales,412,3,True,0.3396,0.6286407766990292,0.28904077669902917,0.24377191825368422,0.3346043444397698,0.3395712273876163,0.34410854458917034,2.8772612383682627e-05,0.2845322321098588,0.2845034594974751,0.24123925339668795,0.32646525324701514,0.015697844620306545,True,0.2890407766990291
mcm,ViT-B/32,inaturalist,minilm_kmeans,cluster_08,576,9,True,0.3396,0.4756944444444444,0.1360944444444444,0.09657181689342403,0.17637580917147036,0.3395712273876163,0.3616272967070094,2.8772612383682627e-05,0.11406714773743509,0.11403837512505141,0.0765999204049322,0.15163929934874712,0.16206443554274974,True,0.1360944444444444
mcm,ViT-B/32,sun,predefined,"mountains, hills, desert, sky",1383,6,True,0.4056,0.4107013738250181,0.005101373825018074,-0.018881916419386774,0.029749726427281853,0.4055691651527177,0.44036488729860007,3.0834847282342536e-05,-0.029663513473581975,-0.029694348320864317,-0.052509796545688624,-0.006676693095837647,6.82085323275816,False,0.005101373825018
mcm,ViT-B/32,sun,minilm_kmeans,cluster_04,1124,6,True,0.4056,0.4973309608540925,0.09173096085409249,0.06493570188911074,0.11896827580901587,0.4055691651527177,0.4773782063348206,3.0834847282342536e-05,0.019952754519272003,0.01992191967198966,-0.0060833593920595974,0.04566967846541678,0.7828222937326742,False,0.0917309608540924
neglabel,ViT-B/32,inaturalist,predefined,Rosales,657,8,True,0.0339,0.0684931506849315,0.0345931506849315,0.01773005297334245,0.05396380401389165,0.03389934278735802,0.036546946308161944,6.572126419812196e-07,0.031946204376769566,0.031945547164127584,0.01401917770249465,0.05010614543299238,0.0765354837123059,True,0.0345931506849315
neglabel,ViT-B/32,inaturalist,minilm_kmeans,cluster_02,1463,17,True,0.0339,0.060833902939166094,0.026933902939166095,0.01638008227220671,0.03819470272095187,0.03389934278735802,0.036443109824962995,6.572126419812196e-07,0.024390793114203106,0.024390135901561125,0.013864487423831394,0.03569830259119956,0.09444479856300125,True,0.026933902939166
neglabel,ViT-B/32,sun,predefined,"forest, field, jungle",4332,21,True,0.2271,0.22460757156048014,-0.002492428439519856,-0.011766780140239746,0.0073176177123218675,0.2271209153682763,0.20836150005658363,-2.091536827627891e-05,0.016246071503896495,0.016266986872172772,0.007255720661574648,0.02535916074903913,7.526561250162296,True,-0.0024924284395198
neglabel,ViT-B/32,sun,minilm_kmeans,cluster_01,2143,10,True,0.2271,0.3005132991133924,0.07341329911339242,0.05650226118321659,0.09012196736309801,0.2271209153682763,0.23040083141070494,-2.091536827627891e-05,0.0701124677026875,0.07013338307096378,0.05351109949489984,0.08668787323015402,0.04467740970695999,True,0.0734132991133924
