method,backbone,source,n_ood,n_errors,failure_rate,visual_similarity_mean,semantic_similarity_mean,similarity_risk_auc,similarity_risk_logloss,mean_oof_predicted_risk,mean_residual
mcm,ViT-B/32,inaturalist,10000,3396,0.3396,0.8377448298989999,0.4487929783850908,0.6147265300895556,0.617681022423789,0.3395712273876163,2.8772612383682627e-05
mcm,ViT-B/32,sun,10000,4056,0.4056,0.821374179932,0.5367177007645368,0.6282005240893971,0.6391150400737567,0.4055691651527177,3.0834847282342536e-05
neglabel,ViT-B/32,inaturalist,10000,339,0.0339,0.8377448298989999,0.4487929783850908,0.5979819112760334,0.14636455900355563,0.03389934278735802,6.572126419812196e-07
neglabel,ViT-B/32,sun,10000,2271,0.2271,0.821374179932,0.5367177007645368,0.6099985762759721,0.5123112734668048,0.2271209153682763,-2.091536827627891e-05
