method,backbone,source,grouping,group,n_images,n_leaf_concepts,is_h1_fixed_worst_fpr95_group,source_fpr95,group_fpr95,unadjusted_gap,unadjusted_gap_ci_low,unadjusted_gap_ci_high,source_expected_risk,group_expected_risk,source_mean_residual,group_mean_residual,adjusted_residual_gap,adjusted_gap_ci_low,adjusted_gap_ci_high,attenuation_fraction,residual_failure_persists,h1_stored_gap
mcm,ViT-B/32,inaturalist,predefined,Alismatales,236,4,False,0.3396,0.4322033898305085,0.09260338983050848,0.030245779097050576,0.15507088744588735,0.3395712273876163,0.3103650513687425,2.8772612383682627e-05,0.121838338461766,0.12180956584938232,0.059838630951013584,0.18474378709022937,-0.3153899233314219,True,
mcm,ViT-B/32,inaturalist,predefined,Asparagales,498,6,False,0.3396,0.3453815261044177,0.005781526104417678,-0.03453360523221629,0.04793404679923391,0.3395712273876163,0.35084046617346876,2.8772612383682627e-05,-0.005458940069051176,-0.005487712681434859,-0.041799305658704634,0.03299332684273301,1.9491806457886067,False,
mcm,ViT-B/32,inaturalist,predefined,Asterales,444,9,False,0.3396,0.44594594594594594,0.10634594594594593,0.06085526235173982,0.15220061879870284,0.3395712273876163,0.37617552230905654,2.8772612383682627e-05,0.06977042363688943,0.06974165102450575,0.028318513360664887,0.11126766106016138,0.34420019113888556,True,
mcm,ViT-B/32,inaturalist,predefined,Brassicales,670,5,False,0.3396,0.34626865671641793,0.00666865671641792,-0.026956821613968795,0.041226119531744786,0.3395712273876163,0.34225660688984305,2.8772612383682627e-05,0.004012049826574823,0.00398327721419114,-0.02952068783408872,0.03797586654311728,0.40268672034286934,False,
mcm,ViT-B/32,inaturalist,predefined,Caryophyllales,995,9,False,0.3396,0.20603015075376885,-0.13356984924623116,-0.15789777714898726,-0.10857158187702712,0.3395712273876163,0.30112565669735164,2.8772612383682627e-05,-0.09509550594358278,-0.09512427855596646,-0.11861186250187555,-0.0706776582236368,0.2878312052250033,False,
mcm,ViT-B/32,inaturalist,predefined,Ericales,756,6,False,0.3396,0.30687830687830686,-0.03272169312169315,-0.06399263501865386,-0.0008350387672029923,0.3395712273876163,0.37052886262399504,2.8772612383682627e-05,-0.06365055574568818,-0.06367932835807186,-0.09614264893654065,-0.030564626531879305,-0.9460890401131186,False,
mcm,ViT-B/32,inaturalist,predefined,Fabales,888,4,False,0.3396,0.4797297297297297,0.1401297297297297,0.10867839687355582,0.1707154848811283,0.3395712273876163,0.3677380706762257,2.8772612383682627e-05,0.11199165905350407,0.11196288644112039,0.08351615576053205,0.14014770796419385,0.2010054778735042,True,
mcm,ViT-B/32,inaturalist,predefined,Gentianales,207,3,False,0.3396,0.5893719806763285,0.24977198067632844,0.18325871741599492,0.31661604996546167,0.3395712273876163,0.3589665669990989,2.8772612383682627e-05,0.23040541367722955,0.23037664106484587,0.16156524680739323,0.299573769188985,0.07765218323914547,True,
mcm,ViT-B/32,inaturalist,predefined,Lamiales,576,7,False,0.3396,0.2482638888888889,-0.09133611111111112,-0.12643198757763974,-0.055561066106025125,0.3395712273876163,0.32936477476841663,2.8772612383682627e-05,-0.08110088587952777,-0.08112965849191145,-0.11579009726121578,-0.045983465662223784,0.11174608262862684,False,
mcm,ViT-B/32,inaturalist,predefined,Liliales,280,5,False,0.3396,0.5607142857142857,0.2211142857142857,0.16269750000000002,0.2785664294222751,0.3395712273876163,0.36882167002334615,2.8772612383682627e-05,0.19189261569093952,0.19186384307855583,0.13599522590773588,0.2497137132255173,0.13228653472677943,True,
mcm,ViT-B/32,inaturalist,predefined,Malpighiales,398,4,False,0.3396,0.22613065326633167,-0.11346934673366835,-0.15355355172479315,-0.07244716007781563,0.3395712273876163,0.31014919558940673,2.8772612383682627e-05,-0.08401854232307507,-0.08404731493545875,-0.12442688556576559,-0.04171976824040412,0.25929497829284287,False,
mcm,ViT-B/32,inaturalist,predefined,Osmundales,223,2,False,0.3396,0.2062780269058296,-0.1333219730941704,-0.18575940265486723,-0.07933173591625302,0.3395712273876163,0.30089685546802114,2.8772612383682627e-05,-0.0946188285621915,-0.09464760117457519,-0.14735519062757266,-0.04012098554486725,0.29008250494671295,False,
mcm,ViT-B/32,inaturalist,predefined,Poales,295,5,False,0.3396,0.25084745762711863,-0.08875254237288138,-0.1365875836994395,-0.03946982795412118,0.3395712273876163,0.357023479045156,2.8772612383682627e-05,-0.10617602141803739,-0.10620479403042107,-0.15595870817232182,-0.057401409307219826,-0.19663945607570876,False,
