method,backbone,source,grouping,metric,group,selected_count,selected_fraction
mcm,ViT-B/16,sun,minilm_kmeans,auroc,cluster_05,0,0.0
mcm,ViT-B/16,sun,minilm_kmeans,auroc,cluster_06,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Alismatales,116,0.0232
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Asparagales,16,0.0032
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Asterales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Brassicales,5,0.001
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Caryophyllales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Ericales,10,0.002
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Fabales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Gentianales,7,0.0014
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Lamiales,2,0.0004
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Liliales,1102,0.2204
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Malpighiales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Osmundales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Poales,4,0.0008
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Rosales,3322,0.6644
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Sapindales,2,0.0004
neglabel,ViT-B/16,inaturalist,predefined,fpr95,Solanales,414,0.0828
neglabel,ViT-B/16,inaturalist,predefined,auroc,Alismatales,12,0.0024
neglabel,ViT-B/16,inaturalist,predefined,auroc,Asparagales,11,0.0022
neglabel,ViT-B/16,inaturalist,predefined,auroc,Asterales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,auroc,Brassicales,6,0.0012
neglabel,ViT-B/16,inaturalist,predefined,auroc,Caryophyllales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,auroc,Ericales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,auroc,Fabales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,auroc,Gentianales,1,0.0002
neglabel,ViT-B/16,inaturalist,predefined,auroc,Lamiales,1,0.0002
neglabel,ViT-B/16,inaturalist,predefined,auroc,Liliales,3388,0.6776
neglabel,ViT-B/16,inaturalist,predefined,auroc,Malpighiales,0,0.0
neglabel,ViT-B/16,inaturalist,predefined,auroc,Osmundales,7,0.0014
neglabel,ViT-B/16,inaturalist,predefined,auroc,Poales,18,0.0036
neglabel,ViT-B/16,inaturalist,predefined,auroc,Rosales,1015,0.203
neglabel,ViT-B/16,inaturalist,predefined,auroc,Sapindales,24,0.0048
neglabel,ViT-B/16,inaturalist,predefined,auroc,Solanales,517,0.1034
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_00,2,0.0004
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_01,0,0.0
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_02,2663,0.5326
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_03,0,0.0
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_04,1,0.0002
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_06,4,0.0008
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_07,2328,0.4656
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_08,0,0.0
neglabel,ViT-B/16,inaturalist,minilm_kmeans,fpr95,cluster_09,2,0.0004
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_00,0,0.0
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_01,0,0.0
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_02,535,0.107
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_03,0,0.0
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_04,1,0.0002
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_06,2,0.0004
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_07,4462,0.8924
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_08,0,0.0
neglabel,ViT-B/16,inaturalist,minilm_kmeans,auroc,cluster_09,0,0.0
neglabel,ViT-B/16,sun,predefined,fpr95,"forest, field, jungle",491,0.0982
neglabel,ViT-B/16,sun,predefined,fpr95,"mountains, hills, desert, sky",0,0.0
neglabel,ViT-B/16,sun,predefined,fpr95,"water, ice, snow",4509,0.9018
neglabel,ViT-B/16,sun,predefined,auroc,"forest, field, jungle",4142,0.8284
neglabel,ViT-B/16,sun,predefined,auroc,"mountains, hills, desert, sky",0,0.0
neglabel,ViT-B/16,sun,predefined,auroc,"water, ice, snow",858,0.1716
neglabel,ViT-B/16,sun,minilm_kmeans,fpr95,cluster_00,0,0.0
