method,source,grouping,n_eligible_groups,sigma_mean_spearman_rho,sigma_mean_spearman_p,sigma_q75_spearman_rho,sigma_q75_spearman_p,sigma_q90_spearman_rho,sigma_q90_spearman_p
mcm,inaturalist,minilm_kmeans,9,-0.35,0.35581957250178897,-0.39999999999999997,0.2861051019083129,-0.4666666666666666,0.20538635110581185
mcm,inaturalist,predefined,16,0.1176470588235294,0.6643410791623536,-0.044117647058823525,0.8711220048065985,0.02941176470588235,0.9138955872505001
mcm,sun,minilm_kmeans,7,0.7500000000000002,0.05218140045705776,0.7500000000000002,0.05218140045705776,0.7142857142857144,0.07134356146753759
mcm,sun,predefined,3,-1.0,0.0,-0.5,0.6666666666666667,-1.0,0.0
neglabel,inaturalist,minilm_kmeans,9,0.6833333333333333,0.04244227208707231,0.7333333333333334,0.02455415007146968,0.7,0.03576957497026169
neglabel,inaturalist,predefined,16,0.6558823529411765,0.005800736962231502,0.7029411764705883,0.002386952669300933,0.5705882352941177,0.02099069636821777
neglabel,sun,minilm_kmeans,7,0.03571428571428572,0.9394082054712856,0.07142857142857144,0.8790481931481541,0.10714285714285716,0.8191508555699912
neglabel,sun,predefined,3,1.0,0.0,1.0,0.0,1.0,0.0
