method,backbone,source,n_ood,n_errors,n_correct,eligible,h1_id95_threshold,h1_baseline_fpr95,sigma_mean_correct,sigma_mean_error,beta_mu,beta_sigma,odds_ratio_sigma,beta_sigma_ci_low,beta_sigma_ci_high,logloss_m0,logloss_m1,delta_logloss,delta_logloss_ci_low,delta_logloss_ci_high,auc_m0,auc_m1,delta_auc,delta_auc_ci_low,delta_auc_ci_high,sigma_error_auc,association_supported,predictive_supported,condition_supported
mcm,ViT-B/32,inaturalist,10000,3396,6604,True,0.001092612627,0.3396,4.679430755184828e-06,5.5603896424494675e-06,6.515339049366585,-0.5312175117623058,0.5878887722822674,-0.6302186824279096,-0.43934579803520496,0.1963142344558424,0.18828636175420338,0.008027872701639033,0.005314382401998996,0.010509457667053149,0.9735112977179836,0.9751164479677876,0.0016051502498040104,0.0009288109486449953,0.0023559112297870414,0.6275175251605374,False,True,False
mcm,ViT-B/32,sun,10000,4056,5944,True,0.001092612627,0.4056,4.568481250527306e-06,5.6817507622613125e-06,7.952298174690871,-0.2220790332965821,0.8008520678544303,-0.3254797962907991,-0.12513148822064227,0.16476649109342836,0.16391945207382527,0.0008470390196031051,-4.129064578399616e-06,0.0016600530019438558,0.9825898474519578,0.9827833862267422,0.00019353877478445192,5.955667895937721e-06,0.00037622226400733645,0.6768106120636792,False,False,False
neglabel,ViT-B/32,inaturalist,10000,339,9661,True,0.8195621967,0.0339,0.06833851911952628,0.03296568829237603,5.666452837340083,0.0007911748670203567,1.000791487928412,-0.3547161741532958,0.312045592157729,0.04808936772955807,0.04812335970670615,-3.399197714808041e-05,-9.103281333197273e-05,1.8319816341123665e-05,0.987832354578317,0.9878103703757986,-2.198420251842137e-05,-6.181920118013273e-05,2.192695848989011e-05,0.1903947965835328,False,False,False
neglabel,ViT-B/32,sun,10000,2271,7729,True,0.8195621967,0.2271,0.0696344022689672,0.03392048870115839,3.178740914078508,-0.00293486310926122,0.9970694393913612,-0.1110873928316113,0.10303481195897352,0.3651594676385667,0.3652883627337159,-0.00012889509514917594,-0.00023252358249974828,-2.529550994311343e-05,0.8713153449591027,0.8712106878546884,-0.00010465710441431852,-0.00020029829430231734,-1.2523523950944157e-05,0.1993580537174095,False,False,False
