method,source,grouping,group,n_images,n_leaf_concepts,eligible_primary,fpr95,sigma_mean,sigma_q75,sigma_q90
mcm,sun,predefined,"transportation (roads, parking, bridges, boats, airports, etc.)",414,1,False,0.7318840579710145,4.9150389131877546e-06,5.657973982318878e-06,6.651328804630435e-06
mcm,sun,predefined,"water, ice, snow",3670,20,True,0.38501362397820166,5.072301712447796e-06,6.062069626984613e-06,7.303866699488459e-06
mcm,sun,minilm_kmeans,cluster_00,2268,12,True,0.294973544973545,4.5660408726843866e-06,5.481981363061207e-06,6.505955664274338e-06
mcm,sun,minilm_kmeans,cluster_01,2143,10,True,0.39617358842743816,4.7376586103091585e-06,5.662522774800958e-06,6.5310131276537965e-06
mcm,sun,minilm_kmeans,cluster_02,2055,8,True,0.4535279805352798,5.585196443486351e-06,6.651802992727908e-06,8.448907164505972e-06
mcm,sun,minilm_kmeans,cluster_03,528,3,True,0.3939393939393939,4.369644478312029e-06,5.457697097691516e-06,6.549493064751368e-06
mcm,sun,minilm_kmeans,cluster_04,1124,6,True,0.4973309608540925,4.985253315488726e-06,5.85172450624239e-06,6.956763094071021e-06
mcm,sun,minilm_kmeans,cluster_05,1244,7,True,0.42765273311897106,5.414995304092666e-06,6.367514008260973e-06,7.766475487125208e-06
mcm,sun,minilm_kmeans,cluster_06,638,4,True,0.48119122257053293,5.591254988889756e-06,6.934593706364651e-06,8.27613327448718e-06
neglabel,inaturalist,predefined,Alismatales,236,4,True,0.038135593220338986,0.08180967937391517,0.10143979971342698,0.12396197275783336
neglabel,inaturalist,predefined,Apiales,160,2,False,0.03125,0.07814202719474911,0.09879693947101545,0.12062634283842012
neglabel,inaturalist,predefined,Asparagales,498,6,True,0.0321285140562249,0.06394698745126248,0.08389587202813167,0.1021893986721325
neglabel,inaturalist,predefined,Asterales,444,9,True,0.03153153153153153,0.06405438311506975,0.0817861041358803,0.10519977563400633
neglabel,inaturalist,predefined,Brassicales,670,5,True,0.016417910447761194,0.05384493525708714,0.07640250991593328,0.0985965398021115
neglabel,inaturalist,predefined,Caryophyllales,995,9,True,0.020100502512562814,0.061867060097583707,0.0832028225341625,0.10442886370250179
neglabel,inaturalist,predefined,Ceratophyllales,30,1,False,0.13333333333333333,0.06475582847842302,0.08272018491490371,0.10234322928257385
neglabel,inaturalist,predefined,Cucurbitales,122,1,False,0.1885245901639344,0.07663865667052067,0.10690423423900987,0.13918544683035378
neglabel,inaturalist,predefined,Dipsacales,170,1,False,0.011764705882352941,0.057529468192272865,0.0768009550763836,0.10436291339429025
neglabel,inaturalist,predefined,Ericales,756,6,True,0.041005291005291,0.07873216804406451,0.10238136176389533,0.12495733744406415
neglabel,inaturalist,predefined,Fabales,888,4,True,0.013513513513513514,0.07001043117931201,0.09313054668199044,0.1143911815126473
neglabel,inaturalist,predefined,Fagales,19,1,False,0.0,0.07510511002846453,0.09644501959269035,0.10867422207730706
neglabel,inaturalist,predefined,Gentianales,207,3,True,0.024154589371980676,0.07111741922371993,0.0917613014328301,0.12383794433108829
neglabel,inaturalist,predefined,Gigartinales,35,1,False,0.8,0.01648803800225081,0.02144542498644,0.03402293617649084
neglabel,inaturalist,predefined,Lamiales,576,7,True,0.029513888888888888,0.059516910340298795,0.07864240400183732,0.1079668104133133
neglabel,inaturalist,predefined,Laurales,21,1,False,0.14285714285714285,0.08965364750087586,0.1249185139661336,0.1306558386445667
neglabel,inaturalist,predefined,Liliales,280,5,True,0.05357142857142857,0.0682067598716036,0.09287049586105117,0.11527746685790966
neglabel,inaturalist,predefined,Malpighiales,398,4,True,0.0,0.06220216279581309,0.0786909020415481,0.1081707011859125
neglabel,inaturalist,predefined,Malvales,129,2,False,0.007751937984496124,0.07320560939284311,0.0921259112867726,0.11277242066721262
neglabel,inaturalist,predefined,Myrtales,123,3,False,0.0,0.07037885892504858,0.0991423102833208,0.12665312414601454
neglabel,inaturalist,predefined,Osmundales,223,2,True,0.008968609865470852,0.03651606204705568,0.0464952263982448,0.07251727748741853
