method,backbone,dataset,fpr95,auroc,aupr_in,aupr_out
mcm,ViT-B/32,inaturalist,0.3398,0.935305038,0.9857677318054835,0.7387116815234556
mcm,ViT-B/32,sun,0.4059,0.915339476,0.9803834450865232,0.696147023577204
mcm,ViT-B/32,places,0.4562,0.8946906990000001,0.9743292014318558,0.6689534531527394
mcm,ViT-B/32,dtd,0.6081560283687943,0.8495838617021276,0.9785836439051427,0.4404127792689092
mcm,ViT-B/32,traditional_four_mean,0.4525140070921986,0.8987297686755318,0.9797660055572512,0.636056234380577
