method,backbone,dataset,fpr95,auroc,aupr_in,aupr_out
neglabel,ViT-B/16,inaturalist,0.0192,0.9950432849999999,0.9988816078826062,0.9835974232881989
neglabel,ViT-B/16,sun,0.2113,0.953256052,0.9896050737598783,0.8073375253303763
neglabel,ViT-B/16,places,0.3438,0.9199171340000001,0.9806155490892479,0.7302195154095475
neglabel,ViT-B/16,dtd,0.451063829787234,0.8983774343971631,0.9862041019421302,0.570254877736052
neglabel,ViT-B/16,traditional_four_mean,0.2563409574468085,0.9416484763492908,0.9888265831684656,0.7728523354410437
