method,backbone,dataset,fpr95,auroc,aupr_in,aupr_out
mcm,ViT-B/16,inaturalist,0.3198,0.9443181700000001,0.9881577248301134,0.7565972684532624
mcm,ViT-B/16,sun,0.3859,0.923704056,0.9823458477444825,0.7100679043550133
mcm,ViT-B/16,places,0.4371,0.900323513,0.9755473239754765,0.6782863703620959
mcm,ViT-B/16,dtd,0.5787234042553191,0.861403645390071,0.9804178823867078,0.47141584942832854
mcm,ViT-B/16,traditional_four_mean,0.4303808510638298,0.9074373460975177,0.9816171947341951,0.654091848149675
