method,backbone,dataset,fpr95,auroc,aupr_in,aupr_out
neglabel,ViT-B/32,inaturalist,0.0339,0.9920284559999999,0.9981981906050732,0.9735087504013986
neglabel,ViT-B/32,sun,0.2272,0.952799731,0.9896944303238664,0.8016926811379824
neglabel,ViT-B/32,places,0.3417,0.9180283389999999,0.9799894596419049,0.7242313139910432
neglabel,ViT-B/32,dtd,0.524113475177305,0.8811814414893617,0.9836338185107046,0.5063497688639782
neglabel,ViT-B/32,traditional_four_mean,0.2817283687943263,0.9360094918723404,0.9878789747703873,0.7514456285986006
